Specimen #,Location,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes,,,,,,
24957,Greenhouse,H,8/14/16,EHB,2.8863,#N/A,Y,None,,,,,,
65620,Greenhouse,H,8/14/16,EHB,11.0017,#N/A,Y,None,,,,,,
73679,Greenhouse,H,8/14/16,EHB,6.0985,#N/A,N,Nippled End,,,,,,
36924,Greenhouse,H,8/14/16,EHB,6.0789,#N/A,N,Pinched End of Fruit,,,,,,
42251,Greenhouse,H,8/14/16,EHB,5.2506,#N/A,N,Burn,,,,,,
11893,Greenhouse,H,8/14/16,EHB,6.5026,#N/A,N,Pinched End of Fruit,,,,,,
4068,Greenhouse,H,8/14/16,EHB,8.999,#N/A,N,Slight nippling,,,,,,
98272,Greenhouse,H,8/14/16,EHB,8.2058,#N/A,N,Slight nippling,,,,,,
19775,Greenhouse,H,8/14/16,EHB,4.471,#N/A,N,Dents,,,,,,
4192,Greenhouse,H,8/14/16,EHB,4.871,#N/A,Y,Dessicated,,,,,,
4192,Greenhouse,H,8/14/16,EHB,1.6237,#N/A,N,Burn,,,,,,
93585,Greenhouse,H,8/14/16,EHB,1.5533,#N/A,N,Dessicated,,,,,,
96825,Greenhouse,H,8/14/16,EHB,6.6776,#N/A,N,Pinched End of Fruit,,,,,,
8011,Greenhouse,H,8/14/16,EHB,8.6304,#N/A,Y,None,,,,,,
91899,Greenhouse,H,8/14/16,EHB,5.651,#N/A,N,Dents,,,,,,
91899,Greenhouse,H,8/14/16,EHB,8.5277,#N/A,N,Nippled End,,,,,,
50002,Greenhouse,H,8/14/16,EHB,2.1613,#N/A,N,Burn,,,,,,
39829,Greenhouse,H,8/14/16,EHB,5.7926,#N/A,Y,None,,,,,,
13853,Greenhouse,H,8/14/16,EHB,5.5662,#N/A,Y,None,,,,,,
13853,Greenhouse,H,8/14/16,EHB,6.2543,#N/A,Y,None,,,,,,
93088,Greenhouse,H,8/14/16,EHB,4.2551,#N/A,Y,None,,,,,,
93088,Greenhouse,H,8/14/16,EHB,3.7324,#N/A,Y,None,,,,,,
10247,Greenhouse,H,8/14/16,EHB,5.3277,#N/A,Y,None,,,,,,
83252,Greenhouse,H,8/14/16,EHB,5.811,#N/A,N,Burn,,,,,,
4446,Greenhouse,H,8/15/16,EHB,4.5512,#N/A,Y,None,,,,,,
50002,Greenhouse,H,8/15/16,EHB,5.6896,#N/A,N,Dessicated,,,,,,
78775,Greenhouse,H,8/15/16,EHB,1.2178,#N/A,N,Burn,,,,,,
78775,Greenhouse,H,8/15/16,EHB,5.9108,#N/A,N,Burn/Pinch/Dessication,,,,,,
6689,Greenhouse,H,8/15/16,EHB,6.6484,#N/A,N,Dent,,,,,,
22561,Greenhouse,H,8/15/16,EHB,4.1561,#N/A,Y,None,,,,,,
22561,Greenhouse,H,8/15/16,EHB,6.54,#N/A,Y,None,,,,,,
18165,Greenhouse,H,8/15/16,EHB,7.877,#N/A,Y,None,,,,,,
80566,Greenhouse,H,8/16/16,EHB,3.419,#N/A,Y,Burn,,,,,,
66911,Greenhouse,H,8/16/16,EHB,5.6634,#N/A,N,Dent/Bump,,,,,,
70428,Greenhouse,H,8/19/16,EHB,3.2529,#N/A,Y,None,,,,,,
22561,Greenhouse,H,8/19/16,EHB,6.3334,#N/A,Y,None,,,,,,
52069,Greenhouse,H,8/21/16,EHB,3.8688,#N/A,N,Nipple/Dent near tip,,,,,,
66911,Greenhouse,H,8/21/16,EHB,4.3727,#N/A,N,Catfaced,,,,,,
67881,Greenhouse,H,8/21/16,EHB,5.8889,#N/A,N,Pinch/Dent near tip,,,,,,
20095,Greenhouse,H,8/22/16,EHB,4.2171,#N/A,N,Cleft tip,,,,,,
51184,Greenhouse,H,8/23/16,EHB,3.9991,#N/A,N,Catfaced,,,,,,
22832,Greenhouse,H,8/23/16,EHB,7.1498,#N/A,N,Slight dent,,,,,,
65475,Greenhouse,H,8/23/16,EHB,7.0324,#N/A,N,Nipple,,,,,,
20095,Greenhouse,H,8/24/16,EHB,3.1169,#N/A,N,Catfaced,,,,,,
29481,Greenhouse,H,9/17/16,EHB,2.4289,#N/A,N,Small pinch/catface,,,,,,
92749,Greenhouse,H,9/17/16,EHB,4.5184,#N/A,N,Slight nippling,,,,,,
49442,Greenhouse,H,9/17/16,EHB,3.6172,#N/A,N,Slight nippling,,,,,,
5019,Greenhouse,H,9/17/16,EHB,1.3037,#N/A,N,Catface,,,,,,
2756,Greenhouse,H,9/17/16,EHB,3.188,#N/A,N,Small catface,,,,,,
77206,Greenhouse,H,9/18/16,EHB,4.5634,#N/A,N,Catfaced,,,,,,
9085,Greenhouse,H,9/20/16,EHB,0.8822,#N/A,N,Catfaced,,,,,,
2756,Greenhouse,H,9/22/16,EHB,2.5224,#N/A,N,Side catface,,,,,,
54495,Greenhouse,H,9/22/16,EHB,6.3905,#N/A,N,Catface major,,,,,,
35995,Greenhouse,H,9/28/16,KB,8.244,#N/A,N,Catfaced,,,,,,
9446,Greenhouse,H,9/28/16,KB,1.4137,#N/A,N,Small and catfaced,,,,,,
67051,Greenhouse,H,10/1/16,EB,0.1856,#N/A,N,Small dried up (should have been picked earlier),,,,,,
3463,Greenhouse,H,10/2/16,EB,6.2102,#N/A,N,Pinched tip,,,,,,
55743,Greenhouse,H,10/2/16,EB,6.7139,#N/A,N,Slight catface,,,,,,
67455,Greenhouse,H,10/2/16,EB,4.8001,#N/A,N,Catface,,,,,,
77823,Greenhouse,H,10/2/16,EB,6.1022,#N/A,N,Large dents,,,,,,
43089,Greenhouse,H,10/4/16,EB,7.1079,#N/A,N,Catface,,,,,,
41214,Greenhouse,H,10/5/16,EB,1.6059,#N/A,N,Catface,,,,,,
12277,Greenhouse,H,10/6/16,EB,7.9432,#N/A,N,Small catface,,,,,,
12734,Greenhouse,H,10/9/16,EB,0.9593,#N/A,N,Catface side,,,,,,
45627,Greenhouse,H,10/13/16,EB,2.7601,#N/A,N,Large dent,,,,,,
15130,Greenhouse,H,10/14/16,EB,12.7183,#N/A,N,Catface,,,,,,
61187,Greenhouse,H,10/14/16,EB,0.2367,#N/A,N,One receptacle ripened,,,,,,
47332,Greenhouse,H,10/14/16,EB,3.0332,#N/A,N,Catface and dessicated before ripened,,,,,,
29933,Greenhouse,H,10/17/16,EB,9.5168,#N/A,N,Small catface,,,,,,
29933,Greenhouse,H,10/17/16,EB,8.6737,#N/A,N,Small dents,,,,,,
29933,Greenhouse,H,10/17/16,EB,10.9216,#N/A,N,Small catface,,,,,,
15130,Greenhouse,H,10/18/16,EB,15.8404,#N/A,N,Very small catface,,,,,,
70447,Greenhouse,H,10/21/16,EB,6.4166,#N/A,N,Catface,,,,,,
85792,Harmony Fields,O,8/2/16,EHB,7.4567,11,Y,None,,,,,,
46631,Riversong Farm,O,8/2/16,EHB,11.6377,10,Y,None,,,,,,
12147,Rising River,O,8/2/16,EHB,8.5892,9,Y,None,,,,,,
83861,Harmony Fields,O,8/3/16,EHB,13.7843,11,Y,None,,,,,,
27295,Harmony Fields,O,8/3/16,EHB,10.1988,11,N,Burn,,,,,,
57156,Riversong Farm,O,8/4/16,EHB,3.0014,10,N,Burn,,,,,,
4149,Maa nyei lai ndeic,O,8/4/16,EHB,3.5846,#N/A,N,Burn,,,,,,
57156,Riversong Farm,O,8/4/16,EHB,2.6396,10,N,Burn,,,,,,
12147,Rising River,O,8/4/16,EHB,7.5382,9,Y,None,,,,,,
25964,Riversong Farm,O,8/4/16,EHB,4.6546,10,N,Burn,,,,,,
69600,Riversong Farm,O,8/4/16,EHB,2.0579,10,N,Burn,,,,,,
93774,Harmony Fields,O,8/4/16,EHB,3.1759,11,N,Burn,,,,,,
7682,Rising River,O,8/4/16,EHB,3.2422,9,N,Burn,,,,,,
46631,Riversong Farm,O,8/6/16,HH,4.6799,10,N,Burn,,,,,,
69600,Riversong Farm,O,8/6/16,HH,1.8078,10,N,Burn,,,,,,
58489,Riversong Farm,O,8/6/16,HH,3.01,10,N,Burn,,,,,,
15884,Wobbly Cart,O,8/6/16,HH,5.0444,9,N,Burn,,,,,,
27295,Harmony Fields,O,8/7/16,HH,10.6739,11,Y,None,,,,,,
27295,Harmony Fields,O,8/7/16,HH,3.0022,11,N,Burn and dented,,,,,,
53833,Rising River,O,8/7/16,HH,4.6589,9,N,Pinched End of Fruit,,,,,,
53833,Rising River,O,8/7/16,HH,9.5342,9,N,Pinched End of Fruit,,,,,,
31871,Harmony Fields,O,8/7/16,HH,5.0561,11,N,Fruit Dented,,,,,,
31632,Maa nyei lai ndeic,O,8/7/16,HH,2.369,#N/A,N,Burn,,,,,,
2676,Wobbly Cart,O,8/7/16,HH,5.5842,9,N,Fruit Dented,,,,,,
2676,Wobbly Cart,O,8/7/16,HH,4.3331,9,Y,None,,,,,,
31645,Wobbly Cart,O,8/7/16,HH,6.4387,9,N,Fruit Dented,,,,,,
11788,Riversong Farm,O,8/7/16,HH,4.9395,10,Y,None,,,,,,
11788,Riversong Farm,O,8/7/16,HH,5.6551,10,N,Burn,,,,,,
8695,Harmony Fields,O,8/10/16,HH,2.3609,11,N,Burn,,,,,,
8695,Harmony Fields,O,8/10/16,HH,5.8478,11,N,Burn,,,,,,
12543,Maa nyei lai ndeic,O,8/10/16,HH,1.5938,#N/A,N,Burn,,,,,,
95616,Present Tense,O,8/10/16,HH,2.8557,7,N,Burn,,,,,,
31645,Wobbly Cart,O,8/11/16,HH,8.818,9,Y,None,,,,,,
47829,Rising River,O,8/12/16,HH,6.0876,9,N,Pinched End of Fruit,,,,,,
12543,Maa nyei lai ndeic,O,8/12/16,HH,4.3324,#N/A,N,Burn,,,,,,
85212,Wobbly Cart,O,8/12/16,HH,8.7053,9,Y,None,,,,,,
